Province,Year,Month,CPI,Food,Clothing,Shelter,Serve,TransComm,EduEta,Health,Other
中国,2020,11,99.5,99.3,99.7,99.4,100,96.1,101,101.5,102.5
中国,2020,10,100.5,102.4,99.7,99.3,99.9,96.1,101.1,101.5,102.4
中国,2020,9,101.7,106.4,99.6,99.2,99.9,96.4,100.7,101.5,104.3
中国,2020,8,102.4,108.8,99.5,99.3,99.9,96.1,100,101.5,106.1
中国,2020,7,102.7,110.2,99.5,99.3,99.9,95.6,100.3,101.6,105.1
中国,2020,6,102.5,108.8,99.6,99.4,100,95.4,101.9,101.9,105.1
中国,2020,5,102.4,108.5,99.6,99.5,100.1,94.9,102.2,102.1,105.3
中国,2020,4,103.3,111.3,99.6,99.7,100.1,95.1,102,102.2,104.8
中国,2020,3,104.3,113.6,99.7,99.9,100.3,96.2,102.5,102.2,105.3
中国,2020,2,105.2,116,100.5,100.3,100.1,98.4,101,102.2,104.4
中国,2020,1,105.4,115.2,100.6,100.5,100.2,100.9,102.2,102.3,104.8
中国,2019,12,104.5,112.9,100.8,100.5,100.4,99.3,101.8,102.1,104.4
中国,2019,11,104.5,113.9,101.1,100.4,100.4,97.2,101.7,102,104.5
中国,2019,10,103.8,111.4,101.2,100.5,100.6,96.5,101.9,102.1,105.5
中国,2019,9,103,108.4,101.6,100.7,100.6,97.1,101.7,102.2,105.8
中国,2019,8,102.8,107.3,101.6,101,100.7,97.7,102.1,102.3,104.7
中国,2019,7,102.8,106.7,101.8,101.5,100.8,97.9,102.3,102.6,103.4
中国,2019,6,102.7,106.1,101.8,101.6,100.8,98.1,102.4,102.5,102.7
中国,2019,5,102.7,105.8,101.7,101.8,101,99.1,102.6,102.5,102.1
中国,2019,4,102.5,104.7,101.8,102,101.1,99.5,102.5,102.6,101.9
中国,2019,3,102.3,103.5,102,102.1,101.2,100.1,102.4,102.7,101.9
中国,2019,2,101.5,101.2,102,102.2,101.3,98.8,102.4,102.8,102
中国,2019,1,101.7,102,101.6,102.1,101.5,98.7,102.9,102.7,102.3
中国,2018,12,101.9,102.4,101.5,102.2,101.4,99.3,102.3,102.5,101.6
中国,2018,11,102.2,102.5,101.4,102.4,101.5,101.6,102.5,102.6,101.5
中国,2018,10,102.5,102.9,101.4,102.5,101.5,103.2,102.5,102.6,101.3
中国,2018,9,102.5,103,101.2,102.6,101.6,102.8,102.2,102.7,100.7
中国,2018,8,102.3,101.9,101.3,102.5,101.6,102.7,102.6,104.3,101.2
中国,2018,7,102.1,101,101.2,102.4,101.6,103,102.3,104.6,101.2
中国,2018,6,101.9,100.8,101.1,102.3,101.5,102.4,101.8,105,100.9
中国,2018,5,101.8,100.7,101.1,102.2,101.5,101.8,101.9,105.1,101
中国,2018,4,101.8,101.1,101.1,102.2,101.5,101.1,102,105.2,100.9
中国,2018,3,102.1,102,101.1,102.2,101.6,100.3,102.2,105.7,101.2
中国,2018,2,102.9,103.6,101.1,102.2,101.8,101.5,103.7,106,101.7
中国,2018,1,101.5,100.2,101.4,102.7,101.5,100.2,100.9,106.2,101.2
中国,2017,12,101.8,100.3,101.3,102.8,101.6,101.2,102.1,106.6,101.9
北京市,2020,11,100.2,100.5,100.2,99.2,101.5,,,,
北京市,2020,10,100.9,103.8,100.2,99,100,,,,
北京市,2020,9,101,106.5,100.1,98.5,99.8,,,,
北京市,2020,8,100.9,106.2,99.2,98.3,100.2,,,,
北京市,2020,7,100.7,106,99.3,98.4,100.1,,,,
北京市,2020,6,101.4,105.3,99.5,98.6,99.8,,,,
北京市,2020,5,101.9,104.2,99.3,99.4,100.1,,,,
北京市,2020,4,102.4,106.9,99.7,99.1,100.3,,,,
北京市,2020,3,103.2,109,99.9,99.4,100.6,,,,
北京市,2020,2,103.6,109.8,100.1,99.5,100,,,,
北京市,2020,1,104.5,110.3,100.7,100.7,97.8,,,,
北京市,2019,12,103.3,109.1,100.3,100.5,98,,,,
北京市,2019,11,103.2,109,100.8,101,98.7,,,,
北京市,2019,10,102.3,105.6,100.6,101,99.1,,,,
北京市,2019,9,102.4,104.4,102.2,101.3,99.1,,,,
北京市,2019,8,102.4,103.9,102.1,101.3,99.4,,,,
北京市,2019,7,102.6,105.4,102.2,101.3,99.6,,,,
北京市,2019,6,102.6,105.8,102.7,101.4,100.3,,,,
北京市,2019,5,101.8,105.5,102.3,100.9,100.2,,,,
北京市,2019,4,101.6,104.6,101.9,101.1,100.1,,,,
北京市,2019,3,101.9,104.3,102.6,101.4,99.8,,,,
北京市,2019,2,101.6,102.2,103.3,103,100.1,,,,
北京市,2019,1,101.9,102.9,102.1,102.1,102,,,,
北京市,2018,12,102,103.1,102.9,102.1,102.3,,,,
北京市,2018,11,102.4,103.3,101.3,102.4,101.4,,,,
北京市,2018,10,103,104.2,101.1,103,101.3,,,,
北京市,2018,9,102.8,104.1,100,103.1,101.5,,,,
北京市,2018,8,102.9,104.6,99.7,103.3,101.1,,,,
北京市,2018,7,102.8,103.1,100.1,103.3,101,,,,
北京市,2018,6,102.2,102.1,99.5,103.4,100.7,,,,
北京市,2018,5,102.3,102,99,103.6,101.1,,,,
北京市,2018,4,102.5,102.5,99.2,103.9,101.1,,,,
北京市,2018,3,102.5,103.3,98.1,103.7,101.5,,,,
北京市,2018,2,102.9,104.7,97.5,102.6,101.6,,,,
北京市,2018,1,101.4,100,98.7,104.2,101.1,,,,
北京市,2017,12,102.2,100.8,98.2,104.4,101.1,,,,
天津市,2020,11,99.6,99.9,96.2,100.5,100.2,,,,
天津市,2020,10,100.5,102.6,97.8,100.6,100,,,,
天津市,2020,9,101.5,106.1,98,100.6,100.3,,,,
天津市,2020,8,102.1,106.6,98.5,100.8,100.5,,,,
天津市,2020,7,102.2,107.3,98.5,100.8,100.4,,,,
天津市,2020,6,102.2,106.2,98.8,101.2,100.5,,,,
天津市,2020,5,102.2,106.4,99.2,100.7,100.2,,,,
天津市,2020,4,102.6,108.4,99.3,100.3,100.3,,,,
天津市,2020,3,103.5,110.3,99.6,100.7,99.8,,,,
天津市,2020,2,103.8,111.3,100.3,100.9,100.1,,,,
天津市,2020,1,104.6,111.8,100.1,101.5,100.3,,,,
天津市,2019,12,104.1,109.6,100.7,102.4,100.2,,,,
天津市,2019,11,104,110.3,101.9,102.1,100.2,,,,
天津市,2019,10,103.3,107.1,101.7,102.1,100.7,,,,
天津市,2019,9,102.8,104.5,102.4,102.3,100.6,,,,
天津市,2019,8,102.4,103.6,101.9,102.2,100.6,,,,
天津市,2019,7,102.3,104.1,102.1,102,100.6,,,,
天津市,2019,6,102.2,104.4,102.3,101.7,100.8,,,,
天津市,2019,5,102.3,103.5,101.9,102.4,101.2,,,,
天津市,2019,4,102.9,103.7,102.6,103.3,101.5,,,,
天津市,2019,3,102.4,102.6,102.9,102.7,102.1,,,,
天津市,2019,2,101.8,100.6,102.6,102.9,101,,,,
天津市,2019,1,101.7,101.8,102.5,102.3,101,,,,
天津市,2018,12,101.8,102.4,101.8,102,101.6,,,,
天津市,2018,11,102,102.3,101.8,101.9,101.2,,,,
天津市,2018,10,102.2,102.9,101.8,101.7,100.9,,,,
天津市,2018,9,102.3,104.3,101.5,101.7,100.9,,,,
天津市,2018,8,102.2,104.3,101.4,101.5,100.8,,,,
天津市,2018,7,102,103.2,101.3,101.5,100.9,,,,
天津市,2018,6,101.9,102.2,101,101.4,100.9,,,,
天津市,2018,5,101.9,102.9,101.2,101.1,101.1,,,,
天津市,2018,4,101.5,102.4,100.5,100.5,100.7,,,,
