数据库：分省月度数据
指标：居民消费价格指数(上年同月=100)
时间：最近36个月
地区,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月
北京市,100.9,101.0,100.9,100.7,101.4,101.9,102.4,103.2,103.6,104.5,103.3,103.2,102.3,102.4,102.4,102.6,102.6,101.8,101.6,101.9,101.6,101.9,102.0,102.4,103.0,102.8,102.9,102.8,102.2,102.3,102.5,102.5,102.9,101.4,102.2,102.0
天津市,100.5,101.5,102.1,102.2,102.2,102.2,102.6,103.5,103.8,104.6,104.1,104.0,103.3,102.8,102.4,102.3,102.2,102.3,102.9,102.4,101.8,101.7,101.8,102.0,102.2,102.3,102.2,102.0,101.9,101.9,101.5,101.8,102.5,101.2,101.6,101.8
河北省,100.2,101.8,102.5,102.3,102.1,101.7,102.6,103.8,104.7,105.1,104.4,104.3,103.6,102.4,102.3,102.9,103.2,103.3,102.9,102.5,101.7,101.9,102.0,102.4,102.7,103.0,102.9,102.5,102.1,102.1,102.2,102.5,103.2,101.7,102.1,102.4
山西省,100.8,102.2,103.2,103.2,103.3,102.9,103.3,104.3,105.2,105.5,103.8,103.8,103.2,102.2,102.4,103.0,102.8,102.9,102.7,102.5,101.6,101.8,101.9,102.4,102.9,102.8,101.8,101.6,101.5,101.3,101.2,101.4,102.1,100.7,101.5,101.3
内蒙古自治区,100.7,101.7,101.8,101.7,101.5,101.7,102.3,103.2,103.8,104.3,103.6,103.3,102.7,102.1,102.2,102.6,102.3,102.4,102.3,102.0,101.4,101.6,101.6,101.9,102.3,102.2,101.8,101.4,101.5,101.5,101.6,102.0,102.5,101.3,101.9,102.2
辽宁省,100.6,102.2,102.0,102.4,102.0,102.2,102.8,104.0,104.9,105.5,104.0,104.1,103.5,102.5,102.2,102.4,102.4,102.2,101.9,101.6,100.8,100.8,101.3,101.5,101.8,102.0,103.4,102.8,102.7,102.8,102.9,103.1,103.5,102.0,102.3,102.4
吉林省,100.2,102.0,101.9,102.2,101.8,102.3,103.2,104.1,104.8,105.7,104.4,104.4,103.9,102.9,102.8,103.3,103.3,102.9,102.7,102.3,101.5,101.4,101.7,102.1,102.5,102.5,102.9,102.2,102.2,101.8,101.7,101.9,102.7,101.2,101.7,101.8
黑龙江省,100.3,101.7,101.7,102.0,102.1,102.4,103.3,104.4,105.0,105.3,104.2,104.4,103.9,103.0,102.9,103.1,102.8,102.5,102.6,101.9,101.2,101.0,101.2,101.6,102.0,101.8,101.7,102.3,102.0,101.9,101.9,102.4,103.0,101.8,102.2,102.2
上海市,100.3,101.3,101.4,101.6,101.7,102.0,102.5,102.8,103.0,104.3,103.8,103.2,102.6,102.2,102.3,102.8,102.7,102.6,102.4,102.2,101.7,101.1,101.2,101.9,102.2,101.5,101.8,101.3,101.2,101.4,101.4,101.6,102.6,101.1,101.5,101.2
江苏省,100.3,101.4,102.3,102.7,102.5,102.8,103.4,104.2,105.2,105.4,104.7,104.8,104.1,103.4,102.8,102.9,102.9,103.0,102.7,102.5,101.8,102.0,102.2,102.6,102.9,103.0,102.7,102.5,102.1,101.8,101.7,101.8,102.6,101.8,101.7,101.6
