数据库：分省月度数据
指标：食品烟酒类居民消费价格指数(上年同月=100)
时间：最近36个月
地区,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月
北京市,103.8,106.5,106.2,106.0,105.3,104.2,106.9,109.0,109.8,110.3,109.1,109.0,105.6,104.4,103.9,105.4,105.8,105.5,104.6,104.3,102.2,102.9,103.1,103.3,104.2,104.1,104.6,103.1,102.1,102.0,102.5,103.3,104.7,100.0,100.8,100.6
天津市,102.6,106.1,106.6,107.3,106.2,106.4,108.4,110.3,111.3,111.8,109.6,110.3,107.1,104.5,103.6,104.1,104.4,103.5,103.7,102.6,100.6,101.8,102.4,102.3,102.9,104.3,104.3,103.2,102.2,102.9,102.4,103.7,105.2,100.8,101.1,100.9
河北省,102.3,106.9,108.8,108.3,106.5,105.9,108.7,111.5,113.3,113.7,111.8,112.3,109.3,104.8,104.0,105.6,106.4,106.1,104.7,103.5,101.0,101.6,102.1,102.4,103.5,104.6,102.9,101.6,100.8,100.7,101.2,101.8,103.0,98.9,99.9,100.0
山西省,101.6,106.4,108.5,107.3,106.6,106.0,108.5,111.0,112.9,113.5,111.1,111.9,109.3,105.6,105.7,107.1,106.1,106.0,105.4,104.2,101.1,101.9,102.1,102.6,103.8,103.8,101.4,101.7,100.9,100.6,100.3,101.0,102.9,98.9,100.0,99.8
内蒙古自治区,102.2,105.4,106.3,105.7,104.8,105.0,106.7,109.2,110.5,111.0,109.2,109.8,107.8,105.4,105.3,106.0,104.9,104.7,104.4,103.2,101.5,102.3,102.5,102.8,103.4,103.3,102.3,101.7,101.9,101.5,101.3,102.1,102.6,99.3,100.8,101.1
辽宁省,101.9,107.0,106.9,108.1,106.3,107.2,109.4,112.5,114.8,115.7,112.5,113.2,111.1,107.0,105.6,106.4,106.0,104.9,103.7,102.4,100.3,100.2,101.3,101.3,102.0,103.1,103.4,101.7,101.5,102.3,102.7,103.5,103.7,100.0,100.9,101.0
吉林省,101.4,107.4,107.2,107.7,105.8,107.5,110.5,112.8,114.8,116.9,113.8,114.7,113.2,108.6,107.4,108.7,108.7,106.6,105.0,103.1,100.1,100.2,101.2,101.7,102.0,102.9,102.9,101.2,100.9,100.1,100.5,101.5,102.9,98.6,99.7,99.3
黑龙江省,101.3,106.7,107.0,107.8,106.9,107.9,111.0,114.7,116.5,117.6,114.0,115.2,113.3,109.1,107.8,108.4,107.1,105.9,105.2,102.7,100.4,100.1,100.7,101.2,102.0,102.0,102.0,101.0,100.9,100.3,100.5,101.1,101.3,98.0,98.9,99.0
上海市,101.9,104.5,105.8,106.8,105.0,105.3,107.2,107.6,109.4,110.9,109.9,109.1,107.4,105.4,105.0,104.8,104.8,104.3,103.8,103.3,101.9,100.8,101.4,101.7,102.1,103.3,101.8,101.3,101.7,102.4,102.7,103.1,103.7,102.2,101.5,101.0
江苏省,103.1,107.3,110.6,112.4,110.8,109.8,111.6,113.0,116.1,114.7,113.2,114.4,111.4,108.3,106.8,106.1,106.0,105.9,105.0,104.0,101.6,102.2,102.9,102.7,103.2,103.6,102.1,101.8,101.4,100.9,101.3,102.2,103.9,101.2,100.4,99.6
