数据库：分省季度数据
指标：地区生产总值指数(上年同期=100)_累计值(%)
时间：最近18季度
地区,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度,2017年第四季度,2017年第三季度,2017年第二季度,2017年第一季度,2016年第四季度,2016年第三季度,2016年第二季度
北京市,100.1,96.8,93.4,106.1,106.2,106.3,106.4,106.7,106.8,106.9,106.8,106.7,106.8,106.8,106.9,106.7,106.7,106.7
天津市,100.0,96.1,90.5,104.8,104.6,104.6,104.5,103.4,103.3,103.2,101.7,103.6,106.0,106.9,108.0,109.0,109.1,109.2
河北省,101.5,99.5,93.8,106.8,107.0,107.1,107.4,106.5,106.5,106.4,105.9,106.7,106.7,106.8,106.5,106.8,106.8,106.6
山西省,101.3,98.6,95.4,106.2,106.6,107.2,107.2,106.6,106.0,106.7,106.1,107.0,107.2,106.9,106.1,104.5,104.0,103.4
内蒙古自治区,98.1,96.2,94.2,105.2,105.6,105.5,105.5,105.2,105.0,104.8,104.5,104.0,105.0,106.6,107.2,107.2,107.1,107.1
辽宁省,98.9,96.1,92.3,105.5,105.7,105.8,106.1,105.6,105.3,105.5,105.0,104.2,102.5,102.1,102.4,97.5,97.8,99.0
吉林省,101.5,99.6,93.4,103.0,101.8,102.0,102.4,104.4,103.9,102.4,102.1,105.3,105.7,106.5,105.9,106.9,106.9,106.7
黑龙江省,98.1,95.1,91.7,104.2,104.3,104.3,104.5,104.5,104.5,105.0,105.3,106.4,106.3,106.3,106.1,106.1,106.0,105.7
上海市,99.7,97.4,93.3,106.0,106.0,105.9,105.7,106.8,106.8,107.1,107.0,106.9,107.0,106.9,106.8,106.8,106.7,106.7
江苏省,102.5,100.9,95.0,106.1,106.4,106.5,106.7,106.7,106.7,107.0,107.1,107.2,107.2,107.2,107.1,107.8,108.1,108.2
浙江省,102.3,100.5,94.4,106.8,106.6,107.1,107.7,107.1,107.5,107.6,107.4,107.8,108.1,108.0,108.0,107.5,107.5,107.7
安徽省,102.5,100.7,93.5,107.5,107.8,108.0,107.7,108.0,108.2,108.3,108.1,108.5,108.3,108.5,108.4,108.7,108.7,108.6
福建省,102.4,100.5,94.8,107.6,108.0,108.1,108.2,108.3,108.3,108.2,107.9,108.1,107.9,108.3,108.6,108.4,108.4,108.3
江西省,102.5,100.9,96.2,108.0,108.6,108.6,108.6,108.7,108.8,109.0,109.0,108.9,109.0,109.0,109.0,109.0,109.1,109.1
山东省,101.9,99.8,94.2,105.5,105.4,105.4,105.5,106.3,106.4,106.5,106.6,107.4,107.5,107.7,107.7,107.6,107.5,107.3
河南省,100.5,99.7,93.3,107.0,107.4,107.7,107.9,107.6,107.4,107.8,107.9,107.8,108.1,108.2,108.0,108.1,108.1,108.0
湖北省,89.6,80.7,60.8,107.5,107.8,108.0,108.1,107.8,107.9,107.8,107.6,107.8,107.8,107.8,107.6,108.1,108.1,108.2
湖南省,102.6,101.3,98.1,107.6,107.8,107.2,107.6,107.8,107.8,107.8,108.0,108.0,107.5,107.6,107.4,107.9,107.6,107.6
广东省,100.7,97.5,93.3,106.2,106.4,106.5,106.6,106.8,106.9,107.1,107.0,107.5,107.6,107.8,107.8,107.5,107.3,107.4
广西壮族自治区,102.0,100.8,96.7,106.0,105.5,105.9,106.4,106.8,107.0,106.2,107.1,107.3,107.0,107.2,106.3,107.3,107.0,107.2
海南省,101.1,97.4,95.5,105.8,105.5,105.3,105.5,105.8,105.4,105.8,105.1,107.0,107.5,107.5,108.9,107.5,107.4,108.1
重庆市,102.6,100.8,93.5,106.3,106.3,106.2,106.0,106.0,106.3,106.5,107.0,109.3,110.0,110.5,110.5,110.7,110.7,110.6
四川省,102.4,100.6,97.0,107.5,107.8,107.9,107.8,108.0,108.1,108.2,108.2,108.1,108.1,108.2,108.2,107.7,107.5,107.5
贵州省,103.2,101.5,98.1,108.3,108.7,109.0,109.2,109.1,109.0,110.0,110.1,110.2,110.1,110.4,110.2,110.5,110.5,110.5
云南省,102.7,100.5,95.7,108.1,108.8,109.2,109.7,108.9,109.1,109.2,109.3,109.5,109.0,109.5,109.9,108.7,107.6,106.6
西藏自治区,106.3,105.1,101.0,108.1,108.7,109.0,109.1,108.9,108.8,109.6,109.3,110.0,110.1,110.8,111.0,110.0,110.7,110.6
陕西省,101.2,99.7,94.4,106.0,105.8,105.4,106.3,108.1,108.2,108.4,108.3,108.0,108.1,108.2,108.1,107.6,107.3,107.2
甘肃省,102.8,101.5,96.6,106.2,106.1,106.0,107.9,106.1,106.1,104.8,105.1,103.6,103.6,105.0,106.1,107.6,107.5,107.8
青海省,101.2,101.0,97.9,106.3,105.7,105.7,105.7,107.1,106.7,105.8,107.1,107.3,107.0,107.6,107.6,108.0,108.2,108.3
宁夏回族自治区,102.6,101.3,97.2,106.5,106.5,106.5,107.9,106.8,106.8,107.5,107.7,107.8,107.8,108.6,108.6,108.1,108.0,107.9
新疆维吾尔自治区,102.2,103.3,99.8,106.2,106.1,105.6,105.3,106.1,105.3,105.6,106.7,107.6,107.5,107.2,107.6,107.6,107.9,108.0
注：2018-2019年季度数据为根据第四次全国经济普查资料修订后数据。
数据来源：国家统计局
