数据库：分省季度数据
指标：地区生产总值_累计值(亿元)
时间：最近18季度
地区,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度,2017年第四季度,2017年第三季度,2017年第二季度,2017年第一季度,2016年第四季度,2016年第三季度,2016年第二季度
北京市,25759.51,16205.55,7462.19,35371.28,25446.71,16443.52,7784.27,33105.97,23665.71,15279.69,7235.42,28000.35,19569.76,12406.79,6040.48,24899.26,17367.77,11413.83
天津市,10095.43,6309.28,2874.35,14104.28,10146.86,6556.84,3103.97,13362.92,9749.14,6376.64,3014.72,18595.38,13449.50,9386.87,4667.18,17885.39,13339.44,8500.91
河北省,25804.37,16387.25,7410.13,35104.52,25254.80,16319.51,7725.56,32494.61,23758.81,15364.91,7116.85,35964.00,25603.47,16404.87,7512.43,31827.86,22496.12,14467.69
山西省,12499.90,7821.64,3634.73,17026.68,12249.29,7915.42,3747.12,15958.13,11237.45,7337.23,3455.53,14973.51,10460.38,6577.91,2809.42,12928.34,8945.55,5714.00
内蒙古自治区,12319.99,7704.09,3550.88,17212.53,12382.99,7895.82,3676.02,16140.76,11489.74,7322.57,3405.07,16103.17,13740.21,8465.71,3742.20,18632.57,12690.14,7579.98
辽宁省,17707.97,11132.49,5082.07,24909.45,17920.29,11579.99,5414.03,23510.54,16857.07,10834.52,5051.14,23942.00,16639.40,10296.82,4574.72,22037.88,19952.81,12812.57
吉林省,8796.68,5441.92,2441.84,11726.82,8436.48,5316.06,2492.34,11253.81,8363.13,5424.21,2452.62,15288.94,9970.58,6124.22,2683.43,14886.23,9298.11,5604.85
黑龙江省,8619.67,5250.63,2409.04,13612.68,8744.81,5586.52,2581.18,12846.48,8296.56,5292.78,2441.77,16199.88,9901.81,6108.01,2797.95,15386.09,9231.56,5630.29
上海市,27301.99,17356.80,7856.62,38155.32,27449.59,17737.77,8396.96,36011.82,25604.72,17101.98,8104.28,30133.86,21617.52,13908.57,6922.84,27466.15,19529.67,12956.99
江苏省,73808.77,46722.92,21002.80,99631.52,71676.63,46317.03,21926.23,93207.55,66553.65,43143.32,20440.34,85900.94,62604.46,40821.22,18822.60,76086.17,55281.46,36531.73
浙江省,45825.92,29086.63,13113.99,62351.74,44856.91,28986.29,13721.95,58002.84,41323.38,26525.86,12500.90,51768.26,36958.03,23383.21,10551.93,46484.98,32234.33,20762.33
安徽省,27668.07,17551.13,7821.26,37113.98,26700.44,17253.67,8167.79,34010.91,24286.40,15622.59,7487.62,27518.67,19811.35,12645.41,5826.82,24117.87,17131.95,11028.49
福建省,31331.55,19901.39,8999.09,42395.00,30499.69,19708.73,9330.00,38687.77,27778.96,17923.14,8500.21,32298.28,20674.99,13289.77,6535.19,28519.15,18287.01,11815.51
江西省,18387.77,11691.13,5343.43,24757.50,17810.97,11509.35,5448.46,22716.51,16168.95,10507.58,4955.19,20818.50,14725.07,8961.19,4318.62,18364.41,12587.30,7827.37
山东省,52186.01,33025.83,14919.34,71067.53,51127.20,33038.11,15640.06,66648.87,48910.25,31311.00,14653.00,72678.18,54866.80,35017.39,16653.29,67008.19,48703.82,31688.29
河南省,39876.71,25608.46,11510.15,54259.20,39035.00,25224.20,11940.99,49935.90,35518.62,23217.14,10916.30,44988.16,32896.69,20307.72,9392.22,40160.01,28840.57,17954.90
湖北省,29779.42,17480.51,6379.35,45828.31,32969.67,21304.82,10085.58,42021.95,29862.76,19242.75,9139.18,36522.95,25076.03,15871.39,7254.06,32297.91,22198.40,14114.76
湖南省,29780.59,19026.38,8824.82,39752.12,28598.36,18480.10,8748.38,36329.68,25880.08,16827.22,8113.26,34590.56,24492.29,15275.51,7051.11,31244.68,21771.08,13613.48
广东省,78397.07,49234.20,22518.67,107671.07,77460.42,50054.49,23695.52,99945.22,70881.55,46059.11,21675.92,89879.23,64815.38,41957.84,19438.05,79512.05,57061.17,37357.59
广西壮族自治区,15999.07,10206.04,4670.85,21237.14,15278.36,9872.79,4673.73,19627.81,14843.80,8900.60,4327.85,20396.25,12757.93,8179.81,3909.53,18245.07,11345.53,7311.64
海南省,3841.31,2383.01,1115.28,5308.93,3819.34,2468.03,1168.35,4910.69,3504.30,2263.69,1079.71,4462.54,3213.68,2198.23,1056.39,4044.51,2880.88,2008.95
重庆市,17707.10,11209.83,4987.66,23605.77,16982.40,10973.93,5195.00,21588.80,15608.62,10642.41,4886.76,19500.27,14309.18,9143.64,4306.74,17558.76,12505.05,8000.82
四川省,34905.03,22130.27,10172.85,46615.82,33536.22,21670.92,10258.89,42902.10,30528.77,19656.13,9330.61,36980.22,27297.19,16080.33,7552.00,32680.50,23793.60,14222.33
贵州省,12650.00,7985.53,3704.04,16769.34,12064.15,7795.79,3690.48,15353.21,10898.91,7047.95,3330.22,13540.83,9499.53,5732.35,2504.83,11734.43,8135.38,4936.61
云南省,17539.76,11129.77,5107.77,23223.75,16707.57,10796.33,5110.92,20880.63,14966.09,9589.97,4584.69,16531.34,10646.65,6447.81,3115.66,14869.95,9536.94,5806.57
西藏自治区,1308.32,838.38,384.58,1697.82,1221.44,789.29,373.64,1548.39,1102.86,715.51,344.22,1310.63,939.51,555.41,271.35,1150.07,829.20,471.96
陕西省,18681.48,11794.92,5439.66,25793.17,18556.05,11990.81,5676.39,23941.88,17085.60,11051.47,5195.39,21898.81,15202.11,9581.10,4147.22,19165.39,12879.97,8207.85
甘肃省,6444.28,4101.90,1908.27,8718.30,6272.10,4053.00,1918.66,8104.07,5898.97,3796.03,1752.59,7677.00,5641.46,2993.02,1388.75,7152.04,4769.45,2720.99
青海省,2170.13,1390.74,652.68,2965.95,2133.76,1378.82,652.73,2748.00,2008.73,1289.45,630.92,2642.80,1921.75,1204.30,524.01,2572.49,1741.38,1068.98
宁夏回族自治区,2796.02,1763.86,808.13,3748.48,2696.72,1742.61,824.94,3510.21,2505.81,1619.20,747.94,3453.93,2449.57,1397.61,588.12,3150.06,2120.31,1203.72
新疆维吾尔自治区,9819.94,6412.80,3055.51,13597.11,9781.99,6321.07,2992.36,12809.39,9112.46,5884.34,2795.66,10920.09,7656.35,4362.98,1791.85,9617.23,6717.79,3819.98
注：2018-2019年季度数据为根据第四次全国经济普查资料修订后数据。
数据来源：国家统计局
