Name,ZipCode,confirmedCount,curedCount,deadCount,updateTime
香港,810000,7803,6439,123,2020/12/16
台湾,710000,749,612,7,2020/12/16
福建省,350000,503,471,1,2020/12/16
山东省,370000,859,841,7,2020/12/16
天津市,120000,303,295,3,2020/12/16
湖北省,420000,68149,63637,4512,2020/12/16
广东省,440000,2021,1973,8,2020/12/16
内蒙古自治区,150000,342,315,1,2020/12/16
上海市,310000,1418,1323,7,2020/12/16
云南省,530000,226,211,2,2020/12/16
北京市,110000,957,940,9,2020/12/16
香港,810000,7721,6345,123,2020/12/16
台湾,710000,742,611,7,2020/12/15
陕西省,610000,502,483,3,2020/12/15
香港,810000,7721,6345,122,2020/12/15
香港,810000,7623,6266,120,2020/12/15
上海市,310000,1415,1319,7,2020/12/15
四川省,510000,838,794,3,2020/12/15
广东省,440000,2018,1973,8,2020/12/15
福建省,350000,502,469,1,2020/12/15
内蒙古自治区,150000,342,314,1,2020/12/15
黑龙江省,230000,960,936,13,2020/12/15
北京市,110000,956,940,9,2020/12/15
山西省,140000,222,220,0,2020/12/15
香港,810000,7623,6266,118,2020/12/14
台湾,710000,740,606,7,2020/12/14
陕西省,610000,502,482,3,2020/12/14
上海市,310000,1412,1313,7,2020/12/14
福建省,350000,502,463,1,2020/12/14
四川省,510000,832,792,3,2020/12/14
广东省,440000,2017,1973,8,2020/12/14
内蒙古自治区,150000,338,313,1,2020/12/14
黑龙江省,230000,958,936,13,2020/12/14
浙江省,330000,1297,1290,1,2020/12/14
北京市,110000,955,940,9,2020/12/14
香港,810000,7541,6202,117,2020/12/14
香港,810000,7541,6202,116,2020/12/13
台湾,710000,736,606,7,2020/12/13
黑龙江省,230000,956,936,13,2020/12/13
福建省,350000,502,460,1,2020/12/13
天津市,120000,302,295,3,2020/12/13
江苏省,320000,684,675,0,2020/12/13
黑龙江省,230000,955,936,13,2020/12/13
上海市,310000,1405,1309,7,2020/12/13
云南省,530000,224,210,2,2020/12/13
山东省,370000,858,841,7,2020/12/13
广东省,440000,2016,1972,8,2020/12/13
四川省,510000,829,792,3,2020/12/13
北京市,110000,954,940,9,2020/12/13
香港,810000,7446,6114,115,2020/12/13
香港,810000,7446,6114,114,2020/12/13
台湾,710000,733,601,7,2020/12/13
上海市,310000,1395,1306,7,2020/12/12
福建省,350000,502,458,1,2020/12/12
广东省,440000,2015,1970,8,2020/12/12
四川省,510000,826,790,3,2020/12/12
内蒙古自治区,150000,337,313,1,2020/12/12
陕西省,610000,502,481,3,2020/12/12
云南省,530000,223,210,2,2020/12/12
江苏省,320000,683,675,0,2020/12/12
浙江省,330000,1296,1290,1,2020/12/12
天津市,120000,302,294,3,2020/12/12
上海市,310000,1395,1306,7,2020/12/12
福建省,350000,502,458,1,2020/12/12
广东省,440000,2015,1970,8,2020/12/12
四川省,510000,826,790,3,2020/12/12
内蒙古自治区,150000,337,313,1,2020/12/12
陕西省,610000,502,481,3,2020/12/12
云南省,530000,223,210,2,2020/12/12
江苏省,320000,683,675,0,2020/12/12
浙江省,330000,1296,1290,1,2020/12/12
天津市,120000,302,294,3,2020/12/12
香港,810000,7377,5996,114,2020/12/11
台湾,710000,725,595,7,2020/12/11
福建省,350000,501,458,1,2020/12/11
四川省,510000,826,787,3,2020/12/11
湖北省,420000,68149,63636,4512,2020/12/11
广东省,440000,2013,1969,8,2020/12/11
内蒙古自治区,150000,337,311,1,2020/12/11
黑龙江省,230000,951,936,13,2020/12/11
上海市,310000,1390,1302,7,2020/12/11
云南省,530000,222,210,2,2020/12/11
香港,810000,7291,5900,114,2020/12/10
台湾,710000,724,590,7,2020/12/10
四川省,510000,822,786,3,2020/12/10
天津市,120000,301,293,3,2020/12/10
内蒙古自治区,150000,337,309,1,2020/12/10
福建省,350000,501,455,1,2020/12/10
上海市,310000,1385,1302,7,2020/12/10
广东省,440000,2010,1968,8,2020/12/10
香港,810000,7179,5783,114,2020/12/10
浙江省,330000,1295,1290,1,2020/12/9
台湾,710000,720,585,7,2020/12/9
香港,810000,7179,5783,113,2020/12/9
上海市,310000,1376,1300,7,2020/12/9
陕西省,610000,502,480,3,2020/12/9
福建省,350000,500,454,1,2020/12/9
四川省,510000,822,783,3,2020/12/9
广西壮族自治区,450000,264,261,2,2020/12/9
江苏省,320000,681,675,0,2020/12/9
广东省,440000,2009,1966,8,2020/12/9
香港,810000,7075,5696,112,2020/12/9
台湾,710000,718,582,7,2020/12/9
上海市,310000,1370,1299,7,2020/12/9
福建省,350000,500,453,1,2020/12/9
四川省,510000,820,781,3,2020/12/9
广东省,440000,2007,1964,8,2020/12/9
内蒙古自治区,150000,336,308,1,2020/12/9
陕西省,610000,502,479,3,2020/12/9
云南省,530000,221,210,2,2020/12/9
浙江省,330000,1295,1288,1,2020/12/9
湖北省,420000,68149,63635,4512,2020/12/9
河北省,130000,373,367,6,2020/12/9
甘肃省,620000,182,180,2,2020/12/9
上海市,310000,1359,1291,7,2020/12/6
福建省,350000,499,452,1,2020/12/6
广东省,440000,2002,1958,8,2020/12/6
四川省,510000,812,777,3,2020/12/6
陕西省,610000,502,474,3,2020/12/6
云南省,530000,220,210,2,2020/12/6
河南省,410000,1295,1266,22,2020/12/6
天津市,120000,301,292,3,2020/12/6
台湾,710000,694,574,7,2020/12/6
香港,810000,6802,5511,112,2020/12/5
台湾,710000,693,574,7,2020/12/5
陕西省,610000,501,474,3,2020/12/5
福建省,350000,493,450,1,2020/12/5
河南省,410000,1295,1265,22,2020/12/5
江苏省,320000,680,674,0,2020/12/5
山西省,140000,222,218,0,2020/12/5
四川省,510000,811,776,3,2020/12/5
天津市,120000,300,292,3,2020/12/5
上海市,310000,1353,1288,7,2020/12/5
广东省,440000,2000,1956,8,2020/12/5
北京市,110000,952,939,9,2020/12/5
台湾,710000,690,572,7,2020/12/4
香港,810000,6701,5465,112,2020/12/4
陕西省,610000,501,471,3,2020/12/4
内蒙古自治区,150000,333,306,1,2020/12/4
内蒙古自治区,150000,331,306,1,2020/12/4
四川省,510000,808,774,3,2020/12/4
福建省,350000,492,450,1,2020/12/4
河南省,410000,1292,1265,22,2020/12/4
天津市,120000,300,291,3,2020/12/4
广东省,440000,1997,1953,8,2020/12/4
上海市,310000,1350,1285,7,2020/12/4
山东省,370000,857,841,7,2020/12/4
辽宁省,210000,289,287,2,2020/12/4
香港,810000,6589,5423,111,2020/12/4
浙江省,330000,1294,1288,1,2020/12/3
广东省,440000,1996,1952,8,2020/12/3
香港,810000,6589,5423,110,2020/12/3
台湾,710000,686,572,7,2020/12/3
陕西省,610000,501,470,3,2020/12/3
陕西省,610000,501,469,3,2020/12/3
内蒙古自治区,150000,330,306,1,2020/12/3
福建省,350000,490,450,1,2020/12/3
内蒙古自治区,150000,329,306,1,2020/12/3
四川省,510000,808,773,3,2020/12/3
上海市,310000,1341,1280,7,2020/12/3
广东省,440000,1996,1953,8,2020/12/3
山东省,370000,856,841,7,2020/12/3
天津市,120000,300,290,3,2020/12/3
湖北省,420000,68149,63633,4512,2020/12/3
广西壮族自治区,450000,263,260,2,2020/12/3
香港,810000,6499,5394,110,2020/12/2
台湾,710000,685,570,7,2020/12/2
陕西省,610000,500,469,3,2020/12/2
广东省,440000,1992,1952,8,2020/12/2
福建省,350000,490,447,1,2020/12/2
陕西省,610000,500,468,3,2020/12/2
内蒙古自治区,150000,329,305,1,2020/12/2
上海市,310000,1333,1279,7,2020/12/2
四川省,510000,808,767,3,2020/12/2
广东省,440000,1992,1951,8,2020/12/2
天津市,120000,300,287,3,2020/12/2
河南省,410000,1290,1263,22,2020/12/2
山西省,140000,221,218,0,2020/12/2
香港,810000,6396,5361,109,2020/12/2
香港,810000,6396,5360,109,2020/12/1
台湾,710000,679,568,7,2020/12/1
陕西省,610000,499,468,3,2020/12/1
天津市,120000,300,286,3,2020/12/1
福建省,350000,489,443,1,2020/12/1
陕西省,610000,499,467,3,2020/12/1
上海市,310000,1332,1277,7,2020/12/1
四川省,510000,808,761,3,2020/12/1
内蒙古自治区,150000,327,305,1,2020/12/1
河南省,410000,1289,1262,22,2020/12/1
北京市,110000,951,938,9,2020/12/1
广西壮族自治区,450000,263,259,2,2020/12/1
香港,810000,6314,5344,109,2020/11/30
台湾,710000,675,565,7,2020/11/30
陕西省,610000,498,467,3,2020/11/30
广东省,440000,1989,1950,8,2020/11/30
福建省,350000,487,443,1,2020/11/30
湖北省,420000,68148,63633,4512,2020/11/30
天津市,120000,300,285,3,2020/11/30
山西省,140000,221,217,0,2020/11/30
四川省,510000,806,760,3,2020/11/30
广东省,440000,1989,1949,8,2020/11/30
内蒙古自治区,150000,323,304,1,2020/11/30
上海市,310000,1330,1272,7,2020/11/30
山东省,370000,854,841,7,2020/11/30
北京市,110000,950,938,9,2020/11/30
香港,810000,6238,5340,109,2020/11/29
台湾,710000,651,565,7,2020/11/29
陕西省,610000,498,463,3,2020/11/29
福建省,350000,487,442,1,2020/11/29
陕西省,610000,498,460,3,2020/11/29
内蒙古自治区,150000,320,302,1,2020/11/29
四川省,510000,803,760,3,2020/11/29
甘肃省,620000,182,179,2,2020/11/29
四川省,510000,803,760,3,2020/11/29
甘肃省,620000,182,179,2,2020/11/29
上海市,310000,1325,1266,7,2020/11/29
云南省,530000,219,210,2,2020/11/29
云南省,530000,219,210,2,2020/11/29
香港,810000,6123,5328,109,2020/11/29
香港,810000,6123,5328,108,2020/11/28
台湾,710000,648,556,7,2020/11/28
福建省,350000,483,440,1,2020/11/28
内蒙古自治区,150000,320,301,1,2020/11/28
安徽省,340000,992,986,6,2020/11/28
福建省,350000,483,440,1,2020/11/28
内蒙古自治区,150000,320,301,1,2020/11/28
安徽省,340000,992,986,6,2020/11/28
陕西省,610000,497,460,3,2020/11/28
天津市,120000,300,283,3,2020/11/28
浙江省,330000,1294,1283,1,2020/11/28
四川省,510000,802,759,3,2020/11/28
广东省,440000,1988,1947,8,2020/11/28
湖北省,420000,68148,63630,4512,2020/11/28
上海市,310000,1322,1257,7,2020/11/28
云南省,530000,218,210,2,2020/11/28
香港,810000,6039,5313,108,2020/11/27
台湾,710000,639,555,7,2020/11/27
陕西省,610000,497,455,3,2020/11/27
天津市,120000,299,283,3,2020/11/27
福建省,350000,481,438,1,2020/11/27
四川省,510000,801,759,3,2020/11/27
广东省,440000,1988,1943,8,2020/11/27
天津市,120000,299,281,3,2020/11/27
福建省,350000,481,438,1,2020/11/27
四川省,510000,801,759,3,2020/11/27
广东省,440000,1988,1943,8,2020/11/27
天津市,120000,299,281,3,2020/11/27
上海市,310000,1322,1253,7,2020/11/27
山西省,140000,220,217,0,2020/11/27
辽宁省,210000,289,286,2,2020/11/27
香港,810000,5947,5300,108,2020/11/26
台湾,710000,625,555,7,2020/11/26
内蒙古自治区,150000,320,296,1,2020/11/26
北京市,110000,950,937,9,2020/11/26
福建省,350000,480,437,1,2020/11/26
四川省,510000,801,758,3,2020/11/26
广东省,440000,1988,1942,8,2020/11/26
陕西省,610000,496,455,3,2020/11/26
江苏省,320000,680,672,0,2020/11/26
湖北省,420000,68148,63629,4512,2020/11/26
山西省,140000,220,216,0,2020/11/26
上海市,310000,1319,1253,7,2020/11/26
香港,810000,5866,5295,108,2020/11/25
台湾,710000,623,553,7,2020/11/25
陕西省,610000,496,453,3,2020/11/25
陕西省,610000,496,449,3,2020/11/25
四川省,510000,800,754,3,2020/11/25
福建省,350000,479,437,1,2020/11/25
广东省,440000,1984,1941,8,2020/11/25
上海市,310000,1314,1249,7,2020/11/25
辽宁省,210000,289,285,2,2020/11/25
甘肃省,620000,181,179,2,2020/11/25
香港,810000,5781,5274,108,2020/11/24
广东省,440000,1983,1940,8,2020/11/24
陕西省,610000,495,449,3,2020/11/24
内蒙古自治区,150000,311,291,1,2020/11/24
上海市,310000,1312,1242,7,2020/11/24
四川省,510000,800,748,3,2020/11/24
福建省,350000,478,434,1,2020/11/24
广东省,440000,1979,1940,8,2020/11/24
天津市,120000,299,279,3,2020/11/24
江苏省,320000,679,671,0,2020/11/24
河南省,410000,1289,1261,22,2020/11/24
河北省,130000,373,366,6,2020/11/24
香港,810000,5701,5267,108,2020/11/23
台湾,710000,618,549,7,2020/11/23
湖南省,430000,1020,1016,4,2020/11/23
陕西省,610000,493,447,3,2020/11/23
河北省,130000,373,365,6,2020/11/23
上海市,310000,1308,1236,7,2020/11/23
福建省,350000,474,434,1,2020/11/23
广东省,440000,1979,1939,8,2020/11/23
内蒙古自治区,150000,310,291,1,2020/11/23
天津市,120000,298,277,3,2020/11/23
北京市,110000,950,936,9,2020/11/23
山西省,140000,220,215,0,2020/11/23
辽宁省,210000,289,283,2,2020/11/23
香港,810000,5628,5259,108,2020/11/22
台湾,710000,617,548,7,2020/11/22
陕西省,610000,492,447,3,2020/11/22
陕西省,610000,492,446,3,2020/11/22
福建省,350000,473,434,1,2020/11/22
浙江省,330000,1293,1283,1,2020/11/22
上海市,310000,1305,1233,7,2020/11/22
四川省,510000,797,745,3,2020/11/22
广东省,440000,1975,1937,8,2020/11/22
天津市,120000,297,277,3,2020/11/22
山西省,140000,220,214,0,2020/11/22
北京市,110000,949,936,9,2020/11/22
广西壮族自治区,450000,263,258,2,2020/11/22
香港,810000,5560,5248,108,2020/11/21
陕西省,610000,490,446,3,2020/11/21
内蒙古自治区,150000,310,290,1,2020/11/21
福建省,350000,469,434,1,2020/11/21
江苏省,320000,677,670,0,2020/11/21
广东省,440000,1975,1935,8,2020/11/21
天津市,120000,296,276,3,2020/11/21
上海市,310000,1301,1231,7,2020/11/21
四川省,510000,796,745,3,2020/11/21
内蒙古自治区,150000,308,290,1,2020/11/21
甘肃省,620000,181,178,2,2020/11/21
陕西省,610000,490,444,3,2020/11/20
香港,810000,5517,5239,108,2020/11/20
台湾,710000,611,546,7,2020/11/20
天津市,120000,295,276,3,2020/11/20
陕西省,610000,490,443,3,2020/11/20
